id,name,x,y
ef955a68,балкон один,0,1
4867ef2f,лестница один,1,0
b760d9d9,аудитория девятьсот,2,0
1ef8f5a8,девятисотая аудитория,2,0
a103c95b,аудитория девятьсот точка один,2,0
a5a15ad7,девятьсот первая аудитория,2,2
85167856,лифт один,3,0
c57a4d91,аудитория девятьсот два,4,0
7eec4844,девятьсот вторая аудитория,4,0
dcedee89,аудитория девятьсот два точка один,4,0
7f7de166,аудитория девятьсот три,4,2
a768ad5e,девятьсот третья аудитория,4,2
5b49358e,аудитория девятьсот четыре,5,0
e69c69ab,девятьсот четвёртая аудитория,5,0
ea6701c4,девятьсот четвертая аудитория,5,0
603d3cf6,аудитория девятьсот три точка три,5,2
ffc7bb03,аудитория девятьсот пять,6,2
dade51a5,девятьсот пятая аудитория,6,2
e1bfdef9,аудитория девятьсот шесть,6,0
9492390b,девятьсот шестая аудитория,6,0
adefc6a3,аудитория девятьсот шесть точка один,6,0
3c06ade7,аудитория девятьсот семь,8,2
33d465f6,девятьсот седьмая аудитория,8,2
72645e39,аудитория девятьсот точка два,8,0
36bc13f4,лифт два,7,0
3079f3d7,лестница два,9,0
28975eda,балкон два,10,1
